Reg,Regulator,TargetGene,Weight,Module
YBL071C-B_YER138W-A,YBL071C-B,YER138W-A,0.0430920584458521,1
snR77_YEL032C-A,snR77,YEL032C-A,0.0746981281133922,1
snR77_YBR252W,snR77,YBR252W,0.0106984915985004,1
snR77_YLR062C,snR77,YLR062C,0.0110132278629528,1
snR77_YGR063C,snR77,YGR063C,0.0125315681119823,1
snR77_YLR402W,snR77,YLR402W,0.0407035641478918,1
snR77_YDL061C,snR77,YDL061C,0.0389705899376183,1
snR77_YML129C,snR77,YML129C,0.0457613336028126,1
snR77_YIL156W-B,snR77,YIL156W-B,0.0190419567922476,1
snR77_YDR034C-A,snR77,YDR034C-A,0.0256671383199531,1
snR77_YJL127W-A,snR77,YJL127W-A,0.0320751246844117,1
snR77_YDR276C,snR77,YDR276C,0.0357086596937868,1
snR77_YNL097W-A,snR77,YNL097W-A,0.0452690961544937,1
snR77_YPL136W,snR77,YPL136W,0.0133884308430004,1
snR77_YDR193W,snR77,YDR193W,0.010300738222603,1
snR77_YML081C-A,snR77,YML081C-A,0.0162469638753718,1
snR77_YDL184C,snR77,YDL184C,0.0552134838661273,1
snR77_YOR161C-C,snR77,YOR161C-C,0.0125728101254189,1
snR77_YGL030W,snR77,YGL030W,0.010696713594708,1
snR77_YMR272W-A,snR77,YMR272W-A,0.0727144412407822,1
snR77_YDL045W-A,snR77,YDL045W-A,0.0100487095087131,1
snR77_YOR381W-A,snR77,YOR381W-A,0.0108336941768266,1
snR77_YHR073W-A,snR77,YHR073W-A,0.0230658925758452,1
snR77_YJL052C-A,snR77,YJL052C-A,0.0226903830366619,1
snR77_tR(CCG)L,snR77,tR(CCG)L,0.0157194069373229,1
snR77_YOR146W,snR77,YOR146W,0.0110547115431669,1
snR77_YIL105W-A,snR77,YIL105W-A,0.0117591647605402,1
snR77_YNL086W,snR77,YNL086W,0.0121772046596254,1
snR77_tC(GCA)Q,snR77,tC(GCA)Q,-0.0111583365669366,1
snR77_YHR032C-A,snR77,YHR032C-A,-0.0162832815181004,1
snR77_snR13,snR77,snR13,0.017520194962844,1
snR77_YLR185W,snR77,YLR185W,0.0176588489588711,1
snR77_YMR013C-A,snR77,YMR013C-A,0.0107684704952702,1
snR77_YJR112W-A,snR77,YJR112W-A,0.0151687641098441,1
snR77_snR85,snR77,snR85,0.0227753055905377,1
snR77_YAL037C-A,snR77,YAL037C-A,0.0191110218003804,1
snR77_snR65,snR77,snR65,0.0310733025611164,1
snR77_YIL052C,snR77,YIL052C,0.0114993494423659,1
snR77_YGR105W,snR77,YGR105W,0.0148973835299808,1
snR77_YOR167C,snR77,YOR167C,0.0176689094478128,1
snR77_YJR085C,snR77,YJR085C,0.012694900008271,1
snR77_YNL162W-A,snR77,YNL162W-A,0.0137219661035517,1
snR77_YDR500C,snR77,YDR500C,0.010188441730073,1
snR77_YJR094W-A,snR77,YJR094W-A,0.01104636020215,1
snR77_YLR399W-A,snR77,YLR399W-A,0.0458191620330301,1
YGR068W-A_YDL232W,YGR068W-A,YDL232W,0.0558847795868659,1
YGR068W-A_YKL162C-A,YGR068W-A,YKL162C-A,0.016558148520521,1
YGR068W-A_YGL014C-A,YGR068W-A,YGL014C-A,0.0158823765861047,1
YDL232W_YKL106C-A,YDL232W,YKL106C-A,0.0522570169818648,1
YDL232W_YGR068W-A,YDL232W,YGR068W-A,0.0561212164854434,1
YDL232W_YKL162C-A,YDL232W,YKL162C-A,0.0264106754256684,1
YDL232W_YLR347W-A,YDL232W,YLR347W-A,0.0193887516578919,1
YDL232W_snR64,YDL232W,snR64,0.0606839464006097,1
YDL232W_YNR003W-A,YDL232W,YNR003W-A,0.0190638962922641,1
YDL232W_YEL017C-A,YDL232W,YEL017C-A,0.0406877844851465,1
YDL232W_YGR174W-A,YDL232W,YGR174W-A,0.022647930030498,1
YDL232W_YER090C-A,YDL232W,YER090C-A,0.0286132837829654,1
YDL232W_snR24,YDL232W,snR24,0.044280561624167,1
YDL232W_YGL014C-A,YDL232W,YGL014C-A,0.0273625807676432,1
YDL232W_YDR169C-A,YDL232W,YDR169C-A,0.0142768884805773,1
YDL232W_YHL015W-A,YDL232W,YHL015W-A,0.0507777536102989,1
YDL232W_YDL114W-A,YDL232W,YDL114W-A,0.0290221815255258,1
snR18_tV(AAC)O,snR18,tV(AAC)O,0.142668228203284,1
snR18_snR39,snR18,snR39,0.184635135738049,1
YLR402W_snR77,YLR402W,snR77,0.0381228855990584,1
YLR402W_YIL156W-B,YLR402W,YIL156W-B,0.0146558969929491,1
YLR402W_YJL062W-A,YLR402W,YJL062W-A,0.0126091467320297,1
YLR402W_YPL136W,YLR402W,YPL136W,0.0100115750818757,1
YLR402W_YLR388W,YLR402W,YLR388W,0.0118256518796734,1
YLR402W_snR85,YLR402W,snR85,0.0183000059818553,1
YLR402W_YGR105W,YLR402W,YGR105W,0.0112639111630399,1
YLR402W_YLR399W-A,YLR402W,YLR399W-A,0.0320853407423215,1
YJL136W-A_YGR236C,YJL136W-A,YGR236C,0.0118106408075775,1
YJL136W-A_snR50,YJL136W-A,snR50,0.0237719288774644,1
YJL136W-A_YMR256C,YJL136W-A,YMR256C,0.010044745136543,1
YJL136W-A_YLR099W-A,YJL136W-A,YLR099W-A,0.0137353148889597,1
YJL136W-A_YPL271W,YJL136W-A,YPL271W,0.0130472138111509,1
YJL136W-A_YPL135C-A,YJL136W-A,YPL135C-A,0.0253416679822947,1
YDL061C_YIL105W-A,YDL061C,YIL105W-A,0.0104359065797713,1
YBL006W-A_snR54,YBL006W-A,snR54,0.0107501120276388,1
YBL006W-A_YKL162C-A,YBL006W-A,YKL162C-A,0.0134486440342079,1
YBL006W-A_snR64,YBL006W-A,snR64,0.0318710035654706,1
YBL006W-A_YOR210W,YBL006W-A,YOR210W,0.011476223087439,1
YBL006W-A_YEL017C-A,YBL006W-A,YEL017C-A,0.0203549447054711,1
YBL006W-A_YGR174W-A,YBL006W-A,YGR174W-A,0.0108476813647494,1
YBL006W-A_YDR210W,YBL006W-A,YDR210W,0.0141066849778649,1
YBL006W-A_YNL130C-A,YBL006W-A,YNL130C-A,0.0120871649442398,1
snR76_snR54,snR76,snR54,0.014116846525044,1
snR76_YLR149C-A,snR76,YLR149C-A,0.0256183273040204,1
snR76_YOR335W-A,snR76,YOR335W-A,0.0228728586079717,1
snR76_YDL247W-A,snR76,YDL247W-A,0.0160450979915419,1
snR76_snR74,snR76,snR74,0.0314774329858052,1
snR76_YDL133C-A,snR76,YDL133C-A,0.0408404519858565,1
snR76_YMR272W-B,snR76,YMR272W-B,0.011699541964621,1
snR76_YMR194C-B,snR76,YMR194C-B,0.0152000227048759,1
snR76_YDR371C-A,snR76,YDR371C-A,0.0316029186747435,1
snR76_tE(UUC)M,snR76,tE(UUC)M,0.035994739463989,1
snR76_YMR251W-A,snR76,YMR251W-A,0.0247561197099786,1
YLR149C-A_tN(GUU)Q,YLR149C-A,tN(GUU)Q,-0.0134583115410742,1
snR87_YGL006W-A,snR87,YGL006W-A,0.0194618824020571,1
snR87_YNL145W,snR87,YNL145W,0.0117510938579385,1
snR87_snR38,snR87,snR38,0.0176524617151412,1
snR87_YER090C-A,snR87,YER090C-A,0.0283584544923571,1
snR87_YBR141W-A,snR87,YBR141W-A,0.136998116244712,1
YML129C_YLR062C,YML129C,YLR062C,0.0106744221093087,1
YML129C_YDL184C,YML129C,YDL184C,0.0472970184861454,1
YML129C_YHR073W-A,YML129C,YHR073W-A,0.0212718508867753,1
YML129C_YIL105W-A,YML129C,YIL105W-A,0.0110000016315322,1
YML129C_YLR185W,YML129C,YLR185W,0.0164518152162321,1
YML129C_YMR013C-A,YML129C,YMR013C-A,0.0101749916080903,1
YML129C_snR65,YML129C,snR65,0.0276266626453767,1
YML129C_YIL052C,YML129C,YIL052C,0.0104124582225929,1
YML129C_YNL162W-A,YML129C,YNL162W-A,0.0137781965616127,1
YEL008C-A_YGL006W-A,YEL008C-A,YGL006W-A,0.0200642110504885,1
YEL008C-A_snR87,YEL008C-A,snR87,0.0753840609719758,1
YEL008C-A_snR38,YEL008C-A,snR38,0.0187647383385245,1
YEL008C-A_YOR186C-A,YEL008C-A,YOR186C-A,0.0189666927941941,1
YEL008C-A_snR67,YEL008C-A,snR67,0.0880568735262458,1
YEL008C-A_YER090C-A,YEL008C-A,YER090C-A,0.0290087088938046,1
YEL008C-A_YJR151W-A,YEL008C-A,YJR151W-A,0.0886972846866964,1
YEL008C-A_YBR141W-A,YEL008C-A,YBR141W-A,0.141034651032608,1
YEL008C-A_snR72,YEL008C-A,snR72,0.0181091886358537,1
YEL008C-A_snR55,YEL008C-A,snR55,0.0514599036409749,1
YEL008C-A_snR39,YEL008C-A,snR39,0.136829520694494,1
YEL008C-A_snR39B,YEL008C-A,snR39B,0.0777703558769301,1
YJL127W-A_snR73,YJL127W-A,snR73,-0.0127622739240417,1
YJL127W-A_YHR032C-A,YJL127W-A,YHR032C-A,-0.0110908945765404,1
YDR276C_YLR402W,YDR276C,YLR402W,0.0246125312937861,1
YDR276C_YML081C-A,YDR276C,YML081C-A,0.0100110433705101,1
YDR276C_YJL052C-A,YDR276C,YJL052C-A,0.014064403551048,1
YDR276C_snR13,YDR276C,snR13,0.0107572524241399,1
YDR276C_YAL037C-A,YDR276C,YAL037C-A,0.0116076219599793,1
YDR276C_YOR167C,YDR276C,YOR167C,0.0109350225388578,1
snR64_YDL232W,snR64,YDL232W,0.0619074992803541,1
YPR160W-A_YLR163W-A,YPR160W-A,YLR163W-A,0.0143173278926659,1
YLR154W-E_tG(UCC)G,YLR154W-E,tG(UCC)G,0.0313668756692116,1
YLR154W-E_tK(UUU)Q,YLR154W-E,tK(UUU)Q,0.0279849412703389,1
YLR154W-E_YHR022C-A,YLR154W-E,YHR022C-A,0.0128412935522272,1
YLR154W-E_YLL019W-A,YLR154W-E,YLL019W-A,0.015296529236296,1
YNL097W-A_YPR182W,YNL097W-A,YPR182W,0.0388236925019762,1
YNL097W-A_YDR354C-A,YNL097W-A,YDR354C-A,0.023428184989098,1
YNL097W-A_YGR063C,YNL097W-A,YGR063C,0.011136114155205,1
YNL097W-A_snR77,YNL097W-A,snR77,0.0447132891794089,1
YNL097W-A_YPL098C,YNL097W-A,YPL098C,0.0113203540615702,1
YNL097W-A_YLR402W,YNL097W-A,YLR402W,0.0349599237298704,1
YNL097W-A_YJR018W,YNL097W-A,YJR018W,0.0119097244018515,1
YNL097W-A_YML129C,YNL097W-A,YML129C,0.0364696691443217,1
YNL097W-A_YIL156W-B,YNL097W-A,YIL156W-B,0.0171447998242738,1
YNL097W-A_YDR034C-A,YNL097W-A,YDR034C-A,0.0184500025909313,1
