Reg,Regulator,TargetGene,Weight,Module,RegulatorBiotype,TargetBiotype
YBR141W-A_snR39,YBR141W-A,snR39,0.182206953171022,1,protein_coding,snoRNA
YBR141W-A_snR39B,YBR141W-A,snR39B,0.132577706161133,1,protein_coding,snoRNA
YBR141W-A_snR79,YBR141W-A,snR79,0.227505042119538,1,protein_coding,snoRNA
YER053C-A_YJR151W-A,YER053C-A,YJR151W-A,-0.114455084980053,1,protein_coding,protein_coding
snR39_snR18,snR39,snR18,0.180879785450929,1,snoRNA,snoRNA
snR39_snR87,snR39,snR87,0.114000106299134,1,snoRNA,snoRNA
snR39_YEL008C-A,snR39,YEL008C-A,0.145103336227614,1,snoRNA,protein_coding
snR39_tV(AAC)O,snR39,tV(AAC)O,0.157929672474916,1,snoRNA,tRNA
snR39_YBR141W-A,snR39,YBR141W-A,0.190171913258735,1,snoRNA,protein_coding
snR39_YER053C-A,snR39,YER053C-A,-0.102013473813166,1,snoRNA,protein_coding
snR39_snR59,snR39,snR59,-0.107466459885162,1,snoRNA,snoRNA
snR39_snR39B,snR39,snR39B,0.110162188339509,1,snoRNA,snoRNA
snR79_YDL232W,snR79,YDL232W,0.133760110897819,1,snoRNA,protein_coding
snR79_snR64,snR79,snR64,0.114715444075777,1,snoRNA,snoRNA
snR79_snR66,snR79,snR66,0.116881346926491,1,snoRNA,snoRNA
snR79_YKL156C-A,snR79,YKL156C-A,0.170265216364629,1,snoRNA,protein_coding
snR79_tV(AAC)O,snR79,tV(AAC)O,-0.174231379164368,1,snoRNA,tRNA
snR79_YDL184C,snR79,YDL184C,-0.12609358827767,1,snoRNA,protein_coding
snR79_YDL133C-A,snR79,YDL133C-A,0.113737305877343,1,snoRNA,protein_coding
snR79_snR67,snR79,snR67,0.148025025395861,1,snoRNA,snoRNA
snR79_YJR151W-A,snR79,YJR151W-A,0.153402904913179,1,snoRNA,protein_coding
snR79_YBR141W-A,snR79,YBR141W-A,0.224815086636015,1,snoRNA,protein_coding
snR79_YKL100W-A,snR79,YKL100W-A,0.119215732690753,1,snoRNA,protein_coding
YEL032C-A_snR18,YEL032C-A,snR18,0.113510757457128,2,protein_coding,snoRNA
YEL032C-A_tV(AAC)O,YEL032C-A,tV(AAC)O,0.140660610993996,2,protein_coding,tRNA
YEL032C-A_snR39,YEL032C-A,snR39,0.103412701169169,2,protein_coding,snoRNA
snR77_YMR272W-A,snR77,YMR272W-A,0.143634841731266,2,snoRNA,protein_coding
snR77_YJR151W-A,snR77,YJR151W-A,-0.205902419030992,2,snoRNA,protein_coding
YDL232W_snR87,YDL232W,snR87,0.102190293367814,2,protein_coding,snoRNA
YDL232W_YEL008C-A,YDL232W,YEL008C-A,0.131071634929526,2,protein_coding,protein_coding
YDL232W_YJR151W-A,YDL232W,YJR151W-A,0.212581214950463,2,protein_coding,protein_coding
YDL232W_YBR141W-A,YDL232W,YBR141W-A,0.158745468074862,2,protein_coding,protein_coding
YDL232W_snR39,YDL232W,snR39,0.140071609102842,2,protein_coding,snoRNA
snR18_YEL032C-A,snR18,YEL032C-A,0.110322963575669,2,snoRNA,protein_coding
snR18_snR39,snR18,snR39,0.118016287863027,2,snoRNA,snoRNA
snR87_YDL232W,snR87,YDL232W,0.108750505178647,2,snoRNA,protein_coding
