Reg,Weight,Module,Regulator,TargetGene
tV(AAC)O_YLR154W-F,0.169602472294137,L3,tV(AAC)O,YLR154W-F
tV(AAC)O_YPL135C-A,0.106741884476139,L3,tV(AAC)O,YPL135C-A
YDL184C_YER053C-A,0.107427799748333,L3,YDL184C,YER053C-A
snR40_snR79,0.1564782279965,L3,snR40,snR79
YMR272W-A_YEL032C-A,0.114780320133896,L3,YMR272W-A,YEL032C-A
YMR272W-A_snR18,0.109156208782077,L3,YMR272W-A,snR18
YMR272W-A_YJL136W-A,0.11124341171873,L3,YMR272W-A,YJL136W-A
YMR272W-A_YER053C-A,0.121403712015334,L3,YMR272W-A,YER053C-A
YMR272W-A_snR59,0.11841907552829,L3,YMR272W-A,snR59
snR67_YBR141W-A,0.168271849819371,L3,snR67,YBR141W-A
snR67_snR79,0.147346066993213,L3,snR67,snR79
YOR302W_tV(AAC)O,0.141572599458466,L3,YOR302W,tV(AAC)O
YOR302W_YBR141W-A,0.175068887834121,L3,YOR302W,YBR141W-A
YOR302W_snR39B,0.101319218142741,L3,YOR302W,snR39B
YOR302W_YLR154W-F,0.145035476747293,L3,YOR302W,YLR154W-F
YBR141W-A_YGR068W-A,0.114974371986415,L3,YBR141W-A,YGR068W-A
YBR141W-A_YKL156C-A,0.141497031700084,L3,YBR141W-A,YKL156C-A
YBR141W-A_YDL184C,-0.10104830844404,L3,YBR141W-A,YDL184C
YBR141W-A_snR67,0.153189543086579,L3,YBR141W-A,snR67
YBR141W-A_YOR302W,0.174865805131378,L3,YBR141W-A,YOR302W
YBR141W-A_snR24,0.108890436824477,L3,YBR141W-A,snR24
YBR141W-A_YMR182W-A,0.108375629821433,L3,YBR141W-A,YMR182W-A
YBR141W-A_snR39B,0.112677291389039,L3,YBR141W-A,snR39B
YER053C-A_YEL032C-A,0.104561220633601,L3,YER053C-A,YEL032C-A
YER053C-A_YDL184C,0.103860302660799,L3,YER053C-A,YDL184C
YER053C-A_YMR272W-A,0.109725068311779,L3,YER053C-A,YMR272W-A
YKL100W-A_snR79,0.17675947703522,L3,YKL100W-A,snR79
snR59_YJL136W-A,0.121533426425115,L3,snR59,YJL136W-A
YHL015W-A_snR79,0.165996573579519,L3,YHL015W-A,snR79
snR39B_YOR302W,0.103527327899943,L3,snR39B,YOR302W
snR79_YOR161W-A,0.122569793099278,L3,snR79,YOR161W-A
snR79_YGR068W-A,0.110840161597035,L3,snR79,YGR068W-A
snR79_YJL136W-A,0.12247635341354,L3,snR79,YJL136W-A
snR79_YBL006W-A,0.127566645468782,L3,snR79,YBL006W-A
snR79_snR64,0.11736417096407,L3,snR79,snR64
snR79_snR66,0.121023496039187,L3,snR79,snR66
snR79_YNR003W-A,0.112569435984897,L3,snR79,YNR003W-A
snR79_tV(AAC)O,-0.137015665795179,L3,snR79,tV(AAC)O
snR79_snR74,0.12094774011329,L3,snR79,snR74
snR79_YDL133C-A,0.138359897778266,L3,snR79,YDL133C-A
snR79_snR40,0.154030634164806,L3,snR79,snR40
snR79_YEL017C-A,0.143000732185202,L3,snR79,YEL017C-A
snR79_snR67,0.164148391671249,L3,snR79,snR67
snR79_snR24,0.121196897452101,L3,snR79,snR24
snR79_YBR141W-A,0.151113371627701,L3,snR79,YBR141W-A
snR79_snR55,0.12285882631993,L3,snR79,snR55
snR79_YKL100W-A,0.183059206064599,L3,snR79,YKL100W-A
snR79_snR39,0.113828200457876,L3,snR79,snR39
snR79_YHL015W-A,0.178266535676446,L3,snR79,YHL015W-A
snR79_YER138W-A,0.112191388150701,L3,snR79,YER138W-A
YLR154W-F_YJL136W-A,-0.110676119679048,L3,YLR154W-F,YJL136W-A
YLR154W-F_YNL097W-A,0.100693195754696,L3,YLR154W-F,YNL097W-A
YLR154W-F_tV(AAC)O,0.173351032908974,L3,YLR154W-F,tV(AAC)O
YLR154W-F_YOR302W,0.138625166322182,L3,YLR154W-F,YOR302W
YLR154W-F_YPL135C-A,0.115010300752807,L3,YLR154W-F,YPL135C-A
YPL135C-A_tV(AAC)O,0.106382135054489,L3,YPL135C-A,tV(AAC)O
YPL135C-A_YLR154W-F,0.112783920845389,L3,YPL135C-A,YLR154W-F
YEL032C-A_tV(AAC)O,0.10725428527638,L4,YEL032C-A,tV(AAC)O
YEL032C-A_YMR272W-A,0.113483756222765,L4,YEL032C-A,YMR272W-A
snR77_YLR154W-F,0.104165514930984,L4,snR77,YLR154W-F
YDL232W_snR77,0.102704363574887,L4,YDL232W,snR77
YDL232W_YLR154W-F,0.135493172583162,L4,YDL232W,YLR154W-F
YKL156C-A_YBR141W-A,0.104408617302756,L4,YKL156C-A,YBR141W-A
YKL156C-A_YLR154W-F,0.111102497242471,L4,YKL156C-A,YLR154W-F
YDL133C-A_snR79,0.165085978572657,L4,YDL133C-A,snR79
snR40_YHL015W-A,0.153505546767898,L4,snR40,YHL015W-A
YMR272W-A_YEL032C-A,0.114446549335788,L4,YMR272W-A,YEL032C-A
snR67_snR79,0.205945730740185,L4,snR67,snR79
YBR141W-A_YGR068W-A,0.10665507603721,L4,YBR141W-A,YGR068W-A
YBR141W-A_YKL156C-A,0.115194104305616,L4,YBR141W-A,YKL156C-A
YBR141W-A_snR79,0.170400182372102,L4,YBR141W-A,snR79
tN(GUU)Q_YHL015W-A,0.156967935433996,L4,tN(GUU)Q,YHL015W-A
YKL100W-A_snR79,0.177000492070086,L4,YKL100W-A,snR79
snR39_tV(AAC)O,0.108569333647048,L4,snR39,tV(AAC)O
snR39_YHL015W-A,0.186467906213597,L4,snR39,YHL015W-A
YHL015W-A_YBL071C-B,0.138784265266428,L4,YHL015W-A,YBL071C-B
YHL015W-A_YDL232W,-0.129331110254296,L4,YHL015W-A,YDL232W
YHL015W-A_YNR003W-A,0.100440446150089,L4,YHL015W-A,YNR003W-A
YHL015W-A_snR40,0.155433102957152,L4,YHL015W-A,snR40
YHL015W-A_YEL017C-A,0.101738569394531,L4,YHL015W-A,YEL017C-A
YHL015W-A_snR24,0.11210312907185,L4,YHL015W-A,snR24
YHL015W-A_tN(GUU)Q,0.151401917771728,L4,YHL015W-A,tN(GUU)Q
YHL015W-A_YKL100W-A,0.137912025185677,L4,YHL015W-A,YKL100W-A
YHL015W-A_snR39,0.169217229031024,L4,YHL015W-A,snR39
YHL015W-A_snR79,0.167102061042538,L4,YHL015W-A,snR79
YHL015W-A_YLR154W-F,-0.163356185492088,L4,YHL015W-A,YLR154W-F
snR79_YGR068W-A,0.126110195871979,L4,snR79,YGR068W-A
snR79_snR66,0.143415135464039,L4,snR79,snR66
snR79_snR74,0.115997746733994,L4,snR79,snR74
snR79_YDL184C,-0.13788901771373,L4,snR79,YDL184C
snR79_YDL133C-A,0.164956860267383,L4,snR79,YDL133C-A
snR79_snR67,0.217351838856027,L4,snR79,snR67
snR79_snR24,0.133816414932107,L4,snR79,snR24
snR79_YMR182W-A,0.113228986113648,L4,snR79,YMR182W-A
snR79_YBR141W-A,0.197043430004043,L4,snR79,YBR141W-A
snR79_YHR032C-A,0.112932375390748,L4,snR79,YHR032C-A
snR79_YER053C-A,-0.12234391562106,L4,snR79,YER053C-A
snR79_YKL100W-A,0.177294323194007,L4,snR79,YKL100W-A
snR79_YHL015W-A,0.171088821561783,L4,snR79,YHL015W-A
YLR154W-F_YDL232W,0.153513714926682,L4,YLR154W-F,YDL232W
YLR154W-F_YKL156C-A,0.100400181348365,L4,YLR154W-F,YKL156C-A
YLR154W-F_YHL015W-A,-0.18932052836139,L4,YLR154W-F,YHL015W-A
YLR154W-F_YPL135C-A,0.106710157770835,L4,YLR154W-F,YPL135C-A
YPL135C-A_YDL232W,0.100366182760986,L4,YPL135C-A,YDL232W
YPL135C-A_YLR154W-F,0.108887933026544,L4,YPL135C-A,YLR154W-F
YEL032C-A_YMR272W-A,0.116375542285051,L5,YEL032C-A,YMR272W-A
YBL071C-B_YHL015W-A,0.120598182823445,L5,YBL071C-B,YHL015W-A
snR77_YMR272W-A,0.11688115024859,L5,snR77,YMR272W-A
snR77_YER053C-A,0.121153234735035,L5,snR77,YER053C-A
snR77_YHL015W-A,-0.132045852118586,L5,snR77,YHL015W-A
YGR068W-A_YLR154W-F,0.110545033756227,L5,YGR068W-A,YLR154W-F
snR18_snR40,0.100206583735624,L5,snR18,snR40
snR18_snR39,0.130719344637772,L5,snR18,snR39
snR18_YHL015W-A,0.12546188755353,L5,snR18,YHL015W-A
YKL156C-A_YBR141W-A,0.15766989816341,L5,YKL156C-A,YBR141W-A
YKL156C-A_YLR154W-F,0.126445122590798,L5,YKL156C-A,YLR154W-F
YDL184C_YMR272W-A,0.105904378200162,L5,YDL184C,YMR272W-A
YDL184C_YBR141W-A,-0.159154107317913,L5,YDL184C,YBR141W-A
YDL184C_YER053C-A,0.102326542080838,L5,YDL184C,YER053C-A
snR40_snR18,0.101934383861391,L5,snR40,snR18
snR40_snR39,0.138835451842219,L5,snR40,snR39
snR40_YHL015W-A,0.156782655063416,L5,snR40,YHL015W-A
YMR272W-A_YEL032C-A,0.120739153760018,L5,YMR272W-A,YEL032C-A
YMR272W-A_snR77,0.109231909895367,L5,YMR272W-A,snR77
YMR272W-A_YDL184C,0.106080083129561,L5,YMR272W-A,YDL184C
YMR272W-A_YER053C-A,0.122802194003589,L5,YMR272W-A,YER053C-A
snR67_YBR141W-A,0.151631198546131,L5,snR67,YBR141W-A
YOR302W_YBR141W-A,0.165586928053594,L5,YOR302W,YBR141W-A
YBR141W-A_YGR068W-A,0.131475484978796,L5,YBR141W-A,YGR068W-A
YBR141W-A_YDL232W,0.174070235095239,L5,YBR141W-A,YDL232W
YBR141W-A_YJL136W-A,-0.118074447198405,L5,YBR141W-A,YJL136W-A
YBR141W-A_snR87,0.150175659287963,L5,YBR141W-A,snR87
YBR141W-A_snR66,0.110030345630165,L5,YBR141W-A,snR66
YBR141W-A_YKL156C-A,0.170809111549695,L5,YBR141W-A,YKL156C-A
