Reg,Weight,Module,Regulator,TargetGene
lncRNA-rRPPH1_RPL38,0.0423439459786366,L2,lncRNA-rRPPH1,RPL38
lncRNA-rRPPH1_RPL4,0.0421511204926152,L2,lncRNA-rRPPH1,RPL4
lncRNA-rRPPH1_RPL15,0.0611025633400456,L2,lncRNA-rRPPH1,RPL15
lncRNA-rRPPH1_RPLP2,0.0202803736796541,L2,lncRNA-rRPPH1,RPLP2
lncRNA-rRPPH1_RPS27,0.0918802404690901,L2,lncRNA-rRPPH1,RPS27
lncRNA-rRPPH1_NPM1,0.0292171317014528,L2,lncRNA-rRPPH1,NPM1
lncRNA-rRPPH1_ANXA2,0.0497111544428133,L2,lncRNA-rRPPH1,ANXA2
lncRNA-rRPPH1_ACTG1,0.0570313338408714,L2,lncRNA-rRPPH1,ACTG1
lncRNA-rRPPH1_H2AC20,0.0163465682465191,L2,lncRNA-rRPPH1,H2AC20
lncRNA-rRPPH1_RPS23,0.0466321698925317,L2,lncRNA-rRPPH1,RPS23
lncRNA-rRPPH1_RPL14,0.0199434290835762,L2,lncRNA-rRPPH1,RPL14
lncRNA-rRPPH1_PPIA,0.069540038055186,L2,lncRNA-rRPPH1,PPIA
lncRNA-rRPPH1_NACA,0.0157122077162907,L2,lncRNA-rRPPH1,NACA
lncRNA-rRPPH1_H4C3,0.0631161613182384,L2,lncRNA-rRPPH1,H4C3
lncRNA-rRPPH1_RPL37A,0.0681019341729611,L2,lncRNA-rRPPH1,RPL37A
lncRNA-rRPPH1_S100A6,0.109469939046406,L2,lncRNA-rRPPH1,S100A6
lncRNA-rRPPH1_RPL12,0.0224080257791214,L2,lncRNA-rRPPH1,RPL12
lncRNA-rRPPH1_RPS4X,0.0219982808471964,L2,lncRNA-rRPPH1,RPS4X
lncRNA-rRPPH1_RPL10A,0.0474998813437272,L2,lncRNA-rRPPH1,RPL10A
lncRNA-rRPPH1_MT-ND4,0.0575889409836536,L2,lncRNA-rRPPH1,MT-ND4
lncRNA-rRPPH1_RPL39,0.0518971539390039,L2,lncRNA-rRPPH1,RPL39
lncRNA-rRPPH1_MT-CO3,0.192752797741097,L2,lncRNA-rRPPH1,MT-CO3
lncRNA-rRPPH1_RNU5A-1,0.509127954074587,L2,lncRNA-rRPPH1,RNU5A-1
lncRNA-rRPPH1_RACK1,0.0914043696195506,L2,lncRNA-rRPPH1,RACK1
lncRNA-rRPPH1_SNORD45C,0.0321582215105167,L2,lncRNA-rRPPH1,SNORD45C
lncRNA-rRPPH1_SNORD60,0.0482407823710719,L2,lncRNA-rRPPH1,SNORD60
lncRNA-rRPPH1_SNORD59A,0.0248979354491065,L2,lncRNA-rRPPH1,SNORD59A
lncRNA-rRPPH1_SNORD15B,0.0202153270391484,L2,lncRNA-rRPPH1,SNORD15B
lncRNA-rRPPH1_SNORD102,0.162657347999773,L2,lncRNA-rRPPH1,SNORD102
lncRNA-rRPPH1_MT-TL1,0.402679055872417,L2,lncRNA-rRPPH1,MT-TL1
lncRNA-rRPPH1_MT-RNR2,-0.680851119542501,L2,lncRNA-rRPPH1,MT-RNR2
lncRNA-rRPPH1_SNORD66,0.0319071661347981,L2,lncRNA-rRPPH1,SNORD66
lncRNA-rRPPH1_SNORD12,0.0192198362434796,L2,lncRNA-rRPPH1,SNORD12
lncRNA-rRPPH1_RPS29,0.0507270518575838,L2,lncRNA-rRPPH1,RPS29
lncRNA-rRPPH1_SNORD88C,0.339852560416169,L2,lncRNA-rRPPH1,SNORD88C
lncRNA-rRPPH1_SNORD111,0.0335899389768707,L2,lncRNA-rRPPH1,SNORD111
lncRNA-rRPPH1_SNORD12B,0.0318031348717512,L2,lncRNA-rRPPH1,SNORD12B
lncRNA-rRPPH1_MT-ATP8,0.197547571461141,L2,lncRNA-rRPPH1,MT-ATP8
lncRNA-rRPPH1_RPL41,0.430501834592763,L2,lncRNA-rRPPH1,RPL41
lncRNA-rRPPH1_RPS18,0.0282274883312458,L2,lncRNA-rRPPH1,RPS18
lncRNA-rRPPH1_SCARNA12,0.0171857037449348,L2,lncRNA-rRPPH1,SCARNA12
lncRNA-rRPPH1_ATP5MF,0.033048718560067,L2,lncRNA-rRPPH1,ATP5MF
lncRNA-rRPPH1_NME2,0.0212221506838575,L2,lncRNA-rRPPH1,NME2
lncRNA-rRPPH1_EEF1G,0.0170502563831953,L2,lncRNA-rRPPH1,EEF1G
lncRNA-rRPPH1_RPL17,0.0285817223530316,L2,lncRNA-rRPPH1,RPL17
lncRNA-rRPPH1_ENSG00000269968,0.0361288717311001,L2,lncRNA-rRPPH1,ENSG00000269968
lncRNA-rRPPH1_ENSG00000273149,0.0227977148632869,L2,lncRNA-rRPPH1,ENSG00000273149
lncRNA-rRPPH1_SNORD1C,0.0684954670766036,L2,lncRNA-rRPPH1,SNORD1C
lncRNA-rRPPH1_H2BC17,0.0283211261589654,L2,lncRNA-rRPPH1,H2BC17
lncRNA-rRPPH1_RN7SL1,0.376052341597476,L2,lncRNA-rRPPH1,RN7SL1
lncRNA-rRPPH1_H2BC7,0.02260146825437,L2,lncRNA-rRPPH1,H2BC7
lncRNA-rRPPH1_H3C7,0.021735709300039,L2,lncRNA-rRPPH1,H3C7
lncRNA-rRPPH1_PSMB3,0.0236735312097947,L2,lncRNA-rRPPH1,PSMB3
lncRNA-rRPPH1_H4C2,0.0466890287249471,L2,lncRNA-rRPPH1,H4C2
lncRNA-rRPPH1_H3C2,0.0170461390297045,L2,lncRNA-rRPPH1,H3C2
RN7SL2_MT-RNR2,0.0649076365437178,L2,RN7SL2,MT-RNR2
RN7SL1_RNU5A-1,0.0624374110039603,L2,RN7SL1,RNU5A-1
RN7SL1_MT-RNR1,0.107666246081115,L2,RN7SL1,MT-RNR1
RN7SL1_SNORD56,-0.0681623906566964,L2,RN7SL1,SNORD56
RN7SL1_RN7SL2,0.508081724759374,L2,RN7SL1,RN7SL2
RN7SL1_RN7SL3,0.0728960699005904,L2,RN7SL1,RN7SL3
RMRP_lncRNA-rRPPH1,1.0,L2,RMRP,lncRNA-rRPPH1
RPPH1_lncRNA-rRPPH1,-0.125310803517945,L2,RPPH1,lncRNA-rRPPH1
HSPA8_lncRNA-rRPPH1,0.158801711052254,L3,HSPA8,lncRNA-rRPPH1
RPL23_lncRNA-rRPPH1,0.301245344963296,L3,RPL23,lncRNA-rRPPH1
RPS27_RN7SL1,0.0212432778501533,L3,RPS27,RN7SL1
RNU5A-1_MT-RNR2,0.0616397712845034,L3,RNU5A-1,MT-RNR2
SNORD102_lncRNA-rRPPH1,-0.269398117103268,L3,SNORD102,lncRNA-rRPPH1
MT-RNR2_RARRES1,0.0519451297197065,L3,MT-RNR2,RARRES1
MT-RNR2_MT-TL1,0.0536515949686,L3,MT-RNR2,MT-TL1
MT-RNR2_MT-RNR1,0.655067720974329,L3,MT-RNR2,MT-RNR1
MT-RNR2_MT-ND4L,0.125338419646019,L3,MT-RNR2,MT-ND4L
MT-ND4L_lncRNA-rRPPH1,0.298016855750899,L3,MT-ND4L,lncRNA-rRPPH1
SNORD88C_RN7SL1,0.026612962523952,L3,SNORD88C,RN7SL1
RPL41_lncRNA-rRPPH1,0.201521723942537,L3,RPL41,lncRNA-rRPPH1
lncRNA-rRPPH1_FTL,0.0700398912765746,L3,lncRNA-rRPPH1,FTL
lncRNA-rRPPH1_RPS27,0.0172333844065308,L3,lncRNA-rRPPH1,RPS27
lncRNA-rRPPH1_SNORD45C,-0.101214431037564,L3,lncRNA-rRPPH1,SNORD45C
lncRNA-rRPPH1_SNORD101,-0.0650242299997469,L3,lncRNA-rRPPH1,SNORD101
lncRNA-rRPPH1_SNORD59A,0.0566369152462864,L3,lncRNA-rRPPH1,SNORD59A
lncRNA-rRPPH1_MT-TL1,-0.204354152670096,L3,lncRNA-rRPPH1,MT-TL1
lncRNA-rRPPH1_MT-RNR2,-0.22943251773402,L3,lncRNA-rRPPH1,MT-RNR2
lncRNA-rRPPH1_MT-ATP8,0.103409945923592,L3,lncRNA-rRPPH1,MT-ATP8
lncRNA-rRPPH1_H2BC17,0.0223093317709391,L3,lncRNA-rRPPH1,H2BC17
lncRNA-rRPPH1_RN7SL1,0.911536170991122,L3,lncRNA-rRPPH1,RN7SL1
lncRNA-rRPPH1_SNORD26,-0.377446497388518,L3,lncRNA-rRPPH1,SNORD26
lncRNA-rRPPH1_RMRP,1.0,L3,lncRNA-rRPPH1,RMRP
lncRNA-rRPPH1_H2BC7,0.0283813990136783,L3,lncRNA-rRPPH1,H2BC7
