Reg,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,weight_7
snR79_YDL232W,0.133760110897819,0.0,0.124883535722173,0.139416841741612,0.0,0.0,0.0
snR79_snR66,0.116881346926491,0.127121439467093,0.086495561659794,0.0385766841502353,0.0,0.0,0.0
snR79_YNL244C,0.0098249747773987,0.010113161768597,0.0107109915025701,0.0103751129419084,0.0,0.0,0.0
snR79_snR74,0.0865477697307854,0.0981441008323038,0.0725992745288737,0.0490160918777016,0.0,0.0,0.0
snR79_snR67,0.148025025395861,0.156988560288398,0.113579065711468,0.0,0.0,0.0,0.0
snR79_snR6,0.0181339540228669,0.0159735930191344,0.0222248371050637,0.0240945523512405,0.0,0.0,0.0
snR79_snR10,0.0162873175031462,0.0,0.0161552808166808,0.0210793484644508,0.0,0.0,0.0
YPR182W_YLR402W,0.0,0.0254213960024019,0.0247903142266866,0.0,0.0480847206085284,0.0385062195386234,0.0391677340573215
YDL232W_YBR082C,0.0,0.0161169809059471,0.0155900737308584,0.0143781657855504,0.0,0.0,0.0
YDL232W_YER009W,0.0,0.017361892061645,0.0172936393749929,0.0157517803309103,0.0,0.0,0.0
YDL232W_YBL001C,0.0,0.0122295402383698,0.0137342148316373,0.0125133226751064,0.0180159571477092,0.0,0.0
YDL232W_YNL145W,0.0,0.0309211048350792,0.0328190100129131,0.0294683461210179,0.0673722951377199,0.0390726220124311,0.0548290451269491
YDL232W_YDR461W,0.0,0.0314388693400267,0.0350250967339076,0.0,0.0,0.0,0.0
YDL232W_snR43,0.0,0.0118723121779281,0.0136967755263198,0.0,0.0174285471054816,0.0,0.0
YDL232W_snR55,0.0,0.0629093141305242,0.0658744246519807,0.0712384051100184,0.0604045416674476,0.0,0.0
YDL232W_snR39,0.0,0.140071609102842,0.132576915543858,0.138209287300002,0.201085369270482,0.200156495081639,0.210271642963166
YDL232W_snR39B,0.0,0.0957291288436946,0.0965100780453389,0.0,0.0,0.0,0.0
snR18_snR189,0.0,0.0200595392384404,0.0203796220496944,0.0,0.0,0.0190152075062606,0.0
snR18_YPL142C,0.0,0.0126126355949842,0.013294182719476,0.0,0.0,0.0,0.0
snR18_YJL205C,0.0,0.0361463108899717,0.0410416000234254,0.0,0.0,0.0,0.0
snR18_YPR183W,0.0,0.0156692288720819,0.0153582887621406,0.0,0.0,0.0,0.0
snR18_YGR063C,0.0,0.015225164607537,0.0161207222137151,0.0,0.0,0.0,0.0
snR18_snR69,0.0,0.0504873735667527,0.0430854383880282,0.0,0.0728889507894696,0.0811478715650294,0.0
snR18_snR161,0.0,0.0199483576132782,0.0191372342475782,0.0,0.0,0.0,0.0
snR18_snR71,0.0,0.0111923324742538,0.0164738546938123,0.0,0.0,0.0,0.0
snR18_YPL136W,0.0,0.0161174993408605,0.01566157571709,0.0,0.0,0.0,0.0
snR18_snR128,0.0,0.0661126162066134,0.0603963142073811,0.0449931013201694,0.0,0.0,0.0
snR18_YDR476C,0.0,0.0155134297383005,0.0157448108954337,0.0,0.0,0.0,0.0
snR18_YHL018W,0.0,0.015839340530727,0.015630248279313,0.0,0.0,0.0,0.0
